experiment,label,SPI_max_pairwise_distance,PFSI_max_pairwise_distance,TFSI_max_pairwise_distance,PPR_max_pairwise_distance,PPD_max_pairwise_distance
185,normal,0.0971999999999999,26.0,17.0,0.0,0.0
185,compromised,0.7772,31.5,25.5,0.02,0.0
186,normal,0.8886,9.0,17.0,0.0,0.0
186,compromised,1.4531999999999998,16.5,43.0,0.1200000000000001,0.11
187,normal,0.0613,18.0,25.5,0.0,0.0
187,compromised,0.4663,17.0,21.0,0.28,0.28
188,normal,0.0985,8.0,20.5,0.0,0.0
188,compromised,0.884,16.0,20.5,0.06,0.06
189,normal,0.1802,13.0,14.5,0.0,0.0
189,compromised,0.3474,12.5,39.0,0.04,0.04
190,normal,0.239,10.0,23.5,0.0,0.0
190,compromised,0.4118,21.0,24.5,0.1899999999999999,0.19
191,normal,0.383,17.0,17.0,0.0,0.0
191,compromised,0.7284,29.5,29.5,0.31,0.31
192,normal,0.197,7.0,16.5,0.0,0.0
192,compromised,1.7036,15.0,27.5,0.04,0.0
193,normal,0.1289,0.0,0.0,0.0,0.0
193,compromised,0.4216,31.0,31.0,0.1,0.06
194,normal,0.0844999999999999,16.0,17.5,0.0,0.0
194,compromised,0.6161,19.0,33.5,0.0,0.0
195,normal,0.1367,25.0,23.0,0.0,0.0
195,compromised,0.7182000000000001,20.5,23.5,0.1,0.1
196,normal,0.0576,6.5,19.0,0.0,0.0
196,compromised,0.2163999999999999,15.0,20.0,0.01,0.01
197,normal,0.4846,10.5,20.5,0.0,0.0
197,compromised,0.2741,13.5,26.0,0.1200000000000001,0.12
198,normal,0.0832,15.0,22.0,0.0,0.0
198,compromised,0.1286,20.0,24.5,0.02,0.0
199,normal,0.502,13.0,21.0,0.0,0.0
199,compromised,1.0992000000000002,34.5,38.5,0.0,0.0
200,normal,0.1945,13.0,26.5,0.0,0.0
200,compromised,0.3801,16.0,26.0,0.0,0.0
201,normal,0.4705,16.0,16.0,0.0,0.0
201,compromised,0.1369999999999999,29.0,29.0,0.1300000000000001,0.12
202,normal,0.2196,24.5,34.5,0.0,0.0
202,compromised,0.5493,13.0,18.0,0.0,0.0
203,normal,0.2642,13.0,18.0,0.0,0.0
203,compromised,0.9155,31.0,32.0,0.05,0.0
204,normal,0.0716,16.0,23.5,0.0,0.0
204,compromised,0.3984,22.67,28.67,0.0,0.0
205,normal,0.217,13.0,16.5,0.0,0.0
205,compromised,0.9584,0.0,0.0,0.0,0.0
206,normal,0.4171,15.0,15.0,0.0,0.0
206,compromised,0.4134,11.5,23.0,0.0,0.0
207,normal,0.2195,22.5,31.5,0.0,0.0
207,compromised,0.7332000000000001,14.670000000000002,23.0,0.03,0.03
208,normal,0.2463,7.5,18.0,0.0,0.0
208,compromised,2.1002,16.0,41.0,0.1499999999999999,0.14
209,normal,0.0872,17.0,26.0,0.0,0.0
209,compromised,0.5556,20.0,27.0,0.2099999999999998,0.14
210,normal,0.2146999999999999,10.5,27.5,0.0,0.0
210,compromised,0.4540999999999999,15.5,30.0,0.1400000000000001,0.12
211,normal,0.2598,14.0,22.0,0.0,0.0
211,compromised,1.0342,35.0,35.5,0.08,0.06
212,normal,0.1554,13.5,20.0,0.0,0.0
212,compromised,0.1651999999999999,25.0,32.5,0.07,0.07
213,normal,0.2418999999999999,18.5,34.0,0.0,0.0
213,compromised,0.5367,18.0,42.5,0.2299999999999999,0.21
214,normal,0.1073,30.5,17.5,0.0,0.0
214,compromised,1.4550999999999998,17.5,32.5,0.3800000000000001,0.34
215,normal,0.1193999999999999,18.0,26.0,0.0,0.0
215,compromised,0.1805,20.0,23.5,0.1899999999999999,0.19
216,normal,0.1076,15.0,20.0,0.0,0.0
216,compromised,0.3384,14.0,30.0,0.1999999999999999,0.17
217,normal,0.4368,11.0,17.5,0.0,0.0
217,compromised,1.0157,25.5,27.5,0.04,0.04
218,normal,0.0995,18.0,37.0,0.0,0.0
218,compromised,1.1326,27.0,22.0,0.0699999999999999,0.0
219,normal,0.2609999999999999,13.0,23.5,0.0,0.0
219,compromised,1.2968,29.5,34.5,0.19,0.12
220,normal,0.1872,12.0,18.0,0.0,0.0
220,compromised,0.1142999999999999,22.0,21.5,0.06,0.0
221,normal,0.3419999999999999,28.5,18.5,0.0,0.0
221,compromised,0.6211,24.0,43.0,0.1899999999999999,0.18
222,normal,0.1219,8.5,25.5,0.0,0.0
222,compromised,0.4034,45.0,20.5,0.3700000000000001,0.37
