experiment,label,SPI_max_pairwise_distance,PFSI_max_pairwise_distance,TFSI_max_pairwise_distance,PPR_max_pairwise_distance,PPD_max_pairwise_distance
207.0,normal,0.3415999999999999,34.5,25.5,0.0,0.0
207.0,compromised,0.6172,44.33,56.67,0.0,0.0
208.0,normal,0.4447,21.0,25.0,0.0,0.0
208.0,compromised,4.4772,24.5,31.5,0.09,0.04
209.0,normal,0.3295,19.0,31.0,0.0,0.0
209.0,compromised,0.6724,34.0,44.0,0.05,0.0
210.0,normal,0.4906,24.0,22.5,0.0,0.0
210.0,compromised,0.8284,20.0,31.0,0.04,0.04
211.0,normal,0.5437,12.5,26.0,0.0,0.0
211.0,compromised,0.8943,48.0,49.0,0.03,0.0
212.0,normal,0.3455,50.0,35.0,0.0,0.0
212.0,compromised,2.2743,24.67,22.67,0.1200000000000001,0.12
213.0,normal,0.2224,21.0,14.5,0.0,0.0
213.0,compromised,3.4059,21.33,19.83,0.1,0.04
214.0,normal,0.3399,27.0,22.5,0.0,0.0
214.0,compromised,0.603,41.5,37.0,0.01,0.0
215.0,normal,0.4716,32.5,29.5,0.0,0.0
215.0,compromised,0.8632,75.67,78.67,0.1099999999999999,0.0
216.0,normal,0.3473,13.0,28.5,0.0,0.0
216.0,compromised,2.5628,25.17,29.0,0.1200000000000001,0.12
217.0,normal,0.5963,2.0,16.0,0.0,0.0
217.0,compromised,2.7494,20.66,38.66,0.02,0.02
218.0,normal,0.4251,33.0,31.5,0.0,0.0
218.0,compromised,0.3971,20.5,18.0,0.04,0.02
219.0,normal,0.1795,27.5,20.5,0.0,0.0
219.0,compromised,0.6634,25.5,26.5,0.06,0.06
220.0,normal,0.5731,16.5,24.0,0.0,0.0
220.0,compromised,2.0188,32.33,37.33,0.0899999999999999,0.0
221.0,normal,0.5021,39.5,21.5,0.0,0.0
221.0,compromised,0.6900000000000001,32.0,20.0,0.1699999999999999,0.17
222.0,normal,0.3244,12.0,21.5,0.0,0.0
222.0,compromised,2.8794,25.5,27.0,0.02,0.02
223.0,normal,0.255,29.5,21.0,0.0,0.0
223.0,compromised,0.3673,24.0,34.0,0.0,0.0
224.0,normal,0.4005999999999999,26.5,33.5,0.0,0.0
224.0,compromised,0.2949,26.5,30.0,0.1699999999999999,0.17
225.0,normal,0.4305,21.0,21.0,0.0,0.0
225.0,compromised,0.6672,29.0,27.5,0.0,0.0
226.0,normal,0.3759,14.0,18.0,0.0,0.0
226.0,compromised,0.965,20.0,34.5,0.04,0.04
227.0,normal,0.3031,56.5,45.5,0.0,0.0
227.0,compromised,0.6945,31.0,45.0,0.0,0.0
228.0,normal,1.4211,20.5,27.5,0.0,0.0
